word,kk_phonetics,chinese_meaning,total,102,103,104,105,106,107,108,109,110,111,112,113,114
people,/ˈpipəl/,人們,108,9,8,7,8,8,9,8,8,9,9,9,8,8
work,/wɝk/,工作,94,7,8,6,7,8,8,7,7,8,8,8,7,5
time,/taɪm/,時間,89,7,7,6,7,8,7,6,7,8,7,7,6,6
school,/skul/,學校,84,6,7,5,7,7,7,6,6,8,7,7,6,5
food,/fud/,食物,79,5,6,6,6,6,6,6,6,7,7,8,5,5
train,/treɪn/,火車,75,3,3,5,5,5,6,7,7,7,6,6,6,9
life,/laɪf/,生活,74,5,6,5,6,6,6,5,5,7,7,7,5,4
day,/deɪ/,天；白天,73,5,6,5,6,6,6,5,5,7,6,6,6,4
book,/bʊk/,書,72,5,5,4,5,5,6,5,5,7,6,6,5,8
city,/ˈsɪtɪ/,城市,70,4,4,4,5,5,6,5,5,7,6,6,5,8
read,/rid/,閱讀,69,5,5,4,5,5,6,5,5,6,6,6,5,6
think,/θɪŋk/,思考；認為,69,5,5,4,5,5,6,5,5,6,6,6,5,6
year,/jɪr/,年,68,4,5,4,5,5,6,5,5,6,6,6,5,6
money,/ˈmʌnɪ/,金錢,66,4,5,4,5,5,6,4,5,6,6,5,5,6
shop,/ʃɑp/,商店；購物,66,4,4,4,5,5,6,5,5,6,6,6,5,5
friend,/frɛnd/,朋友,65,4,5,4,5,5,6,4,5,6,6,5,5,5
leave,/liv/,離開,64,4,5,4,5,5,5,5,5,6,6,5,5,4
home,/hom/,家,63,4,5,4,5,4,5,5,5,6,6,5,5,4
business,/ˈbɪznɪs/,生意；商業,62,4,5,4,5,4,5,5,5,6,6,5,4,4
country,/ˈkʌntrɪ/,國家,62,4,5,4,5,4,5,5,5,6,6,5,4,4
help,/hɛlp/,幫助,62,4,5,4,5,4,5,5,5,6,6,5,4,4
know,/no/,知道,62,4,5,4,5,4,5,5,5,6,6,5,4,4
place,/pleɪs/,地方,62,4,4,4,5,4,5,5,5,6,6,5,4,5
buy,/baɪ/,購買,61,4,4,4,5,4,5,5,5,6,5,5,4,5
coffee,/ˈkɔfɪ/,咖啡,60,3,3,3,4,4,5,5,5,6,5,5,4,8
house,/haʊs/,房子,60,4,4,4,5,4,5,5,5,6,5,5,4,4
change,/tʃendʒ/,改變,59,4,4,4,5,4,5,5,5,6,5,5,4,3
child,/tʃaɪld/,孩子,59,4,4,4,5,4,5,5,5,6,5,5,4,3
morning,/ˈmɔrnɪŋ/,早上,59,4,4,4,5,4,5,5,5,6,5,5,3,4
student,/ˈstjudənt/,學生,59,4,4,4,5,4,5,5,5,6,5,5,3,4
learn,/lɝn/,學習,58,4,4,4,5,4,5,4,5,6,5,5,3,4
live,/lɪv/,居住；活著,58,4,4,4,5,4,5,4,5,6,5,5,3,4
pay,/peɪ/,付錢,58,4,4,4,5,4,5,4,5,6,5,5,3,4
way,/weɪ/,方式；道路,58,4,4,4,5,4,5,4,5,6,5,5,3,4
sleep,/slip/,睡覺；睡眠,57,4,4,4,5,4,5,4,5,5,5,5,3,4
story,/ˈstorɪ/,故事,57,4,4,4,5,4,5,4,5,5,5,5,3,4
drink,/drɪŋk/,飲料；喝,55,3,4,3,5,4,5,4,5,5,5,4,3,5
worker,/ˈwɝkɚ/,工人,55,3,4,3,5,4,5,4,5,5,5,4,3,5
game,/ɡeɪm/,遊戲；比賽,54,3,4,3,5,4,5,4,5,5,5,4,3,4
teacher,/ˈtitʃɚ/,老師,54,3,4,3,5,4,5,4,5,5,5,4,3,4
water,/ˈwɔtɚ/,水,54,3,4,3,5,4,5,4,5,5,5,4,3,4
exercise,/ˈɛksɚˌsaɪz/,運動；練習,53,3,4,3,5,4,5,4,4,5,5,4,3,4
picture,/ˈpɪktʃɚ/,圖片,53,3,4,3,5,4,5,4,4,5,5,4,3,4
report,/rɪˈport/,報告,53,3,4,3,5,4,5,4,4,5,5,4,3,4
visit,/ˈvɪzɪt/,參觀；拜訪,53,3,4,3,5,4,5,4,4,5,5,4,3,4
